train_loss,train_cross_loss,train_holo_loss,train_score_loss,lr,epoch,step,val_loss,val_cross_loss,val_holo_loss,val_score_loss
4.495855808258057,0.47972607612609863,0.23893193900585175,3.2993338108062744,2.5254998035961762e-05,0,49,,,,
1.45916748046875,0.36457669734954834,0.07136084139347076,0.880508303642273,5.0005004595732316e-05,0,99,,,,
,,,,,0,147,1.3203374147415161,0.27809759974479675,0.029262205585837364,0.9544530510902405
1.5691771507263184,0.46885690093040466,0.057513393461704254,0.9277799129486084,9.938447328750044e-05,1,149,,,,
1.0428556203842163,0.31874483823776245,0.027827240526676178,0.6406291127204895,9.938447328750044e-05,1,199,,,,
1.277120590209961,0.40895724296569824,0.03072228655219078,0.7759965658187866,9.938447328750044e-05,1,249,,,,
,,,,,1,294,1.0952858924865723,0.2726908028125763,0.016601568087935448,0.7727903723716736
1.1016274690628052,0.3628685176372528,0.04491196200251579,0.6040229797363281,9.755307110026479e-05,2,299,,,,
0.9606689214706421,0.3228570520877838,0.033942073583602905,0.5359855890274048,9.755307110026479e-05,2,349,,,,
1.1386027336120605,0.3636631965637207,0.021442117169499397,0.7106131911277771,9.755307110026479e-05,2,399,,,,
,,,,,2,441,1.0867135524749756,0.2822211682796478,0.014417982660233974,0.7612383961677551
1.2905501127243042,0.41126805543899536,0.017857877537608147,0.825708270072937,9.455088002141565e-05,3,449,,,,
1.494035005569458,0.45848748087882996,0.018276605755090714,0.9807177782058716,9.455088002141565e-05,3,499,,,,
0.9204566478729248,0.3982393741607666,0.01191786676645279,0.4864635467529297,9.455088002141565e-05,3,549,,,,
,,,,,3,588,0.9822571873664856,0.2847119867801666,0.009040553122758865,0.6704235672950745
0.9458387494087219,0.29027241468429565,0.015631215646862984,0.6086727380752563,9.045180195244029e-05,4,599,,,,
0.7805162668228149,0.34694528579711914,0.031690504401922226,0.3384994864463806,9.045180195244029e-05,4,649,,,,
1.0096367597579956,0.33219173550605774,0.017788633704185486,0.624079167842865,9.045180195244029e-05,4,699,,,,
,,,,,4,735,0.951919436454773,0.24876274168491364,0.008733143098652363,0.6769571900367737
0.9329556226730347,0.4146130383014679,0.017435196787118912,0.4660370349884033,8.535681263310835e-05,5,749,,,,
0.7984344363212585,0.3231586217880249,0.010009605437517166,0.44524693489074707,8.535681263310835e-05,5,799,,,,
1.030314326286316,0.42935147881507874,0.010773605667054653,0.5686420798301697,8.535681263310835e-05,5,849,,,,
,,,,,5,882,0.9112842082977295,0.25222817063331604,0.006709259934723377,0.6389282941818237
0.8453338742256165,0.2571987211704254,0.00971619039773941,0.5589866042137146,7.939132046885788e-05,6,899,,,,
0.761507511138916,0.24045148491859436,0.007659538649022579,0.4980774521827698,7.939132046885788e-05,6,949,,,,
0.7077353000640869,0.3857570290565491,0.011806609109044075,0.2865584194660187,7.939132046885788e-05,6,999,,,,
,,,,,6,1029,0.9574251174926758,0.263576477766037,0.009207207709550858,0.6662269830703735
0.6761536598205566,0.28117263317108154,0.01138866227120161,0.3608150780200958,7.270224887179211e-05,7,1049,,,,
0.6889241933822632,0.3109857439994812,0.006961355917155743,0.35705435276031494,7.270224887179211e-05,7,1099,,,,
0.7705305814743042,0.3217625916004181,0.007730822544544935,0.4255755841732025,7.270224887179211e-05,7,1149,,,,
,,,,,7,1176,0.9262654781341553,0.2547685205936432,0.0061600953340530396,0.6530166268348694
0.7526190876960754,0.3758215010166168,0.018642080947756767,0.32087135314941406,6.545430369442329e-05,8,1199,,,,
0.6092970967292786,0.27774104475975037,0.006903011351823807,0.3108469843864441,6.545430369442329e-05,8,1249,,,,
0.7324389219284058,0.31052783131599426,0.0066668507643043995,0.40191054344177246,6.545430369442329e-05,8,1299,,,,
,,,,,8,1323,0.9558510184288025,0.2552255392074585,0.005229598376899958,0.6849367618560791
0.7000864744186401,0.2565736770629883,0.01237193588167429,0.4063970446586609,5.7825938711175695e-05,9,1349,,,,
0.7753345966339111,0.2526504397392273,0.011256752535700798,0.4889138638973236,5.7825938711175695e-05,9,1399,,,,
0.8118844628334045,0.36574599146842957,0.012279936112463474,0.40929868817329407,5.7825938711175695e-05,9,1449,,,,
,,,,,9,1470,0.9447987675666809,0.23556102812290192,0.0072022974491119385,0.6876307725906372
0.7150025963783264,0.21302412450313568,0.006077050697058439,0.48374730348587036,5.0005004595732316e-05,10,1499,,,,
0.7379773855209351,0.3360446095466614,0.007579783909022808,0.37919342517852783,5.0005004595732316e-05,10,1549,,,,
0.7768480181694031,0.33290839195251465,0.005078846123069525,0.42870309948921204,5.0005004595732316e-05,10,1599,,,,
,,,,,10,1617,0.8833674192428589,0.23972341418266296,0.0058127399533987045,0.6262058615684509
0.6885657906532288,0.3475392758846283,0.011714032851159573,0.30588439106941223,4.218405592837371e-05,11,1649,,,,
0.4885752201080322,0.29022058844566345,0.007304903585463762,0.17643995583057404,4.218405592837371e-05,11,1699,,,,
0.4311148524284363,0.2416999787092209,0.005601085722446442,0.17261159420013428,4.218405592837371e-05,11,1749,,,,
,,,,,11,1764,0.8814724087715149,0.23182916641235352,0.005370304919779301,0.6335322856903076
0.39494580030441284,0.2324015349149704,0.006146606523543596,0.14410442113876343,3.455569458310492e-05,12,1799,,,,
0.4645962715148926,0.3163914978504181,0.010191123932600021,0.11763140559196472,3.455569458310492e-05,12,1849,,,,
0.6062841415405273,0.29486048221588135,0.014023279771208763,0.26935380697250366,3.455569458310492e-05,12,1899,,,,
,,,,,12,1911,0.8815633058547974,0.23037073016166687,0.006347783375531435,0.6321491003036499
0.5446268320083618,0.22765496373176575,0.005433452315628529,0.30067145824432373,2.7307745767757297e-05,13,1949,,,,
0.6022145748138428,0.25916972756385803,0.007507287431508303,0.3205230236053467,2.7307745767757297e-05,13,1999,,,,
0.7992101907730103,0.39305686950683594,0.017636481672525406,0.353243887424469,2.7307745767757297e-05,13,2049,,,,
,,,,,13,2058,0.8311073780059814,0.22907574474811554,0.00548792677000165,0.5855677723884583
0.4067259728908539,0.2526802122592926,0.004939539358019829,0.13922710716724396,2.0618677808670327e-05,14,2099,,,,
0.6434667706489563,0.2522919774055481,0.00542437145486474,0.374901682138443,2.0618677808670327e-05,14,2149,,,,
0.46156278252601624,0.22586309909820557,0.007845349609851837,0.21216362714767456,2.0618677808670327e-05,14,2199,,,,
,,,,,14,2205,0.8957606554031372,0.2231009602546692,0.0054031070321798325,0.6564503312110901
0.4546089172363281,0.24526388943195343,0.005365417338907719,0.19324877858161926,1.4653196558356285e-05,15,2249,,,,
0.42004671692848206,0.21515753865242004,0.005869637709110975,0.1872802972793579,1.4653196558356285e-05,15,2299,,,,
0.46801576018333435,0.193320631980896,0.015514064580202103,0.22815291583538055,1.4653196558356285e-05,15,2349,,,,
,,,,,15,2352,0.8189722299575806,0.21698546409606934,0.0057709114626049995,0.5846740007400513
0.494905948638916,0.17926345765590668,0.021825866773724556,0.25016486644744873,9.558195415593218e-06,16,2399,,,,
0.4341181516647339,0.15769857168197632,0.003824155544862151,0.2649471163749695,9.558195415593218e-06,16,2449,,,,
,,,,,16,2499,0.8289765119552612,0.2131953239440918,0.005474489647895098,0.5993577837944031
